national_rank,shrid2,economic_growth_score,score_ntl,score_infra,score_housing,score_market,ntl_2019,ntl_2023,ntl_growth_ratio_capped,pc11_vd_t_p,pmay_density,pc11_state_id,pc11_district_id
40,11-28-542-04806-581707,85.30108508393326,99.43984288848606,94.99999999905,48.875739644481655,79.9999999992,3.028762395602068,6.5692167762335325,0.6306303669977342,4660.0,62.8698224852071,28,542
41,11-08-130-00695-107754,85.28080564752264,99.99999990192914,84.99999999915,82.65402843519242,49.9999999995,1.6094636251247358,4.528723345403748,0.6363421259798077,2169.0,78.19905213270142,8,130
42,11-27-531-04302-568704,85.27542368913247,99.99999990192914,99.999999999,37.627118643691524,84.99999999915,2.107462978407085,7.490859898816733,0.6363421259798077,5255.0,1.694915254237288,27,531
43,11-32-593-05647-627582,85.2752457330283,99.99999990192914,94.99999999905,43.12622886311573,85.99999999914,0.0574605243419421,1.2462100589172471,0.6363421259798077,24445.0,5.210381439244986,32,593
44,11-21-380-02939-397514,85.25517237411222,99.99999990192914,89.9999999991,73.27586206823277,53.99999999946,0.0,1.0603367164614923,0.6363421259798077,456.0,59.48275862068966,21,380
45,11-32-594-05652-627717,85.24413485767992,99.99999990192914,94.99999999905,39.97067448640381,89.9999999991,0.0046767010843473,0.8996268718682112,0.6363421259798077,3013.0,0.1466275659824047,32,594
46,11-32-592-05643-627493,85.11155992993623,92.63648022420435,99.999999999,40.2848392032725,99.999999999,0.0963810331208504,0.9218211124285604,0.5612584464943022,32748.0,0.5666156202143952,32,592
47,11-28-540-04698-578213,85.03887464062818,99.99999990192914,99.999999999,40.19437340113258,79.9999999992,1.084492339939093,3.772615051285616,0.6363421259798077,5093.0,1.687979539641944,28,540
48,11-09-139-00736-119466,85.01351347383505,99.99999990192914,99.999999999,40.06756756716689,79.9999999992,2.600903450234055,6.65222974763095,0.6363421259798077,5208.0,0.11261261261261261,9,139
49,11-24-476-03803-512944,84.9309158484528,98.00485204014645,99.999999999,39.89487516385861,84.99999999915,2.1101205315766407,4.758400021708551,0.6159981805384109,8214.0,0.2628120893561104,24,476
50,11-19-337-02332-323746,84.91546291208127,97.49771274062317,99.999999999,40.831889081047485,84.99999999915,12.149956198696463,23.22161595030057,0.6108270278442589,2519.0,7.279029462738301,19,337
51,11-18-314-02090-296740,84.88343578474978,95.44639434109085,74.99999999925,79.0243902431122,80.99999999919,0.0,0.803826654828975,0.5899103276826325,423.0,95.9349593495935,18,314
52,11-32-593-05650-627669,84.88230265137896,96.609086143227,94.99999999905,37.4433409723783,99.999999999,0.4767156511869128,1.695507307104185,0.6017659595587992,17126.0,0.0,32,593
53,11-09-160-00834-146953,84.8713825969789,99.99999990192914,99.999999999,39.35691318288617,79.9999999992,1.6789496467882898,5.809569278078079,0.6363421259798077,8600.0,3.215434083601286,9,160
54,11-32-600-05685-628381,84.76853250667746,92.24571365242316,99.999999999,39.351235230540965,99.999999999,0.5942480162967659,1.7834079960367273,0.5572739128319525,18176.0,0.021482277121374866,32,600
55,11-28-544-04863-586096,84.73245948229813,99.99999990192914,84.99999999915,53.6622976093323,84.99999999915,1.40371497859051,3.632977324672862,0.6363421259798077,4386.0,28.064764841942946,28,544
56,11-19-343-02412-333277,84.62916662699203,99.99999990192914,99.999999999,45.645833332876876,69.9999999993,9.492031645898566,20.27286619847991,0.6363421259798077,4098.0,9.6875,19,343
57,11-19-344-02462-342160,84.58005245376418,99.99999990192914,99.999999999,37.9002624668126,79.9999999992,0.0634015565085244,1.2251178398856213,0.6363421259798077,1589.0,5.2493438320209975,19,344
58,11-33-605-05714-630493,84.55418138040783,97.16383773163777,89.9999999991,40.9432314406386,99.999999999,4.507976142422836,9.110958649053478,0.6074226009859027,4264.0,1.7467248908296942,33,605
59,11-32-595-05658-627968,84.51053761462488,91.27634403776217,99.999999999,39.9999999996,99.999999999,0.6129379365050106,1.7883411600193997,0.5473895313628068,15312.0,0.0,32,595
60,11-02-033-00192-026570,84.49999996032666,99.99999990192914,94.99999999905,39.9999999996,84.99999999915,0.5883446475522336,2.9019896837765886,0.6363421259798077,2078.0,0.0,2,33
61,11-24-490-03925-523054,84.47171736150823,99.99999990192914,84.99999999915,41.10858700549531,99.999999999,1.817776498283916,4.728620471564692,0.6363421259798077,5580.0,2.7260336210813265,24,490
62,11-32-594-05656-627897,84.47031859847624,99.99999990192914,94.99999999905,39.851593190347884,84.99999999915,0.4243882367026416,1.7605068297509434,0.6363421259798077,8833.0,0.13094718463553034,32,594
63,11-27-531-04303-568813,84.46390370364253,99.99999990192914,99.999999999,41.06951871616684,74.99999999925,0.7626012157354649,3.112516319019944,0.6363421259798077,5141.0,5.347593582887701,27,531
64,11-32-597-05671-628184,84.43492969500888,96.71915873006579,99.999999999,39.98633101680027,84.99999999915,0.5933805823134558,1.91172663167924,0.6028883378767855,35176.0,0.0,32,597
65,11-09-198-00999-210846,84.43471806121752,99.99999990192914,94.99999999905,39.673590504054296,84.99999999915,5.227031517938785,12.329508911020902,0.6363421259798077,3618.0,4.599406528189911,9,198
66,11-27-527-04265-564564,84.42085013569738,99.297051539623,99.999999999,34.76014760112841,84.99999999915,2.111908020360989,4.83812926607017,0.6291743649307104,6136.0,1.107011070110701,27,527
67,11-32-593-05650-627668,84.38956405213507,94.19949492682706,94.99999999905,39.798830408958736,99.999999999,0.3325035957039197,1.373238862103755,0.5771960551514596,18712.0,0.30409356725146197,32,593
68,11-33-604-05702-629258,84.37042460514819,99.55927747642545,99.999999999,41.48356807470254,74.99999999925,10.145230668502922,19.965115097583613,0.6318482069320055,4012.0,2.535211267605634,33,604
69,11-32-598-05678-628286,84.32496504075361,90.75491931063534,99.999999999,40.11498658449728,99.999999999,0.687256960199828,1.901351967665865,0.5420727142969352,30394.0,0.21719688258592054,32,598
70,11-32-594-05652-627718,84.25535113089768,99.99999990192914,84.99999999915,40.026755852442534,99.999999999,0.1064461679697623,1.1929477177936854,0.6363421259798077,7197.0,0.13377926421404682,32,594
71,11-32-594-05652-627728,84.24999996032916,99.99999990192914,84.99999999915,39.999999999599986,99.999999999,0.0,0.9277899315245938,0.6363421259798077,4236.0,0.2079002079002079,32,594
72,11-33-628-05876-642830,84.2490108406457,99.99999990192914,84.99999999915,39.99505440118264,99.999999999,1.8754270939012367,5.3421194579920055,0.6363421259798077,9999.0,1.2116716122650841,33,628
73,11-32-594-05652-627720,84.20865629107894,99.99999990192914,84.99999999915,39.793281653348835,99.999999999,0.0377358036464901,0.9679546389795304,0.6363421259798077,3276.0,0.0,32,594
74,11-32-600-05687-628414,84.17074510921665,93.5621534868421,94.99999999905,39.979418574336506,99.999999999,0.6629111747433091,1.942522053754468,0.5706972689056073,30099.0,0.12863390789812193,32,600
75,11-33-632-05896-644382,84.16028036744247,99.62192048400267,84.99999999915,40.30756087101939,99.999999999,1.6701970492406115,4.026074341802142,0.6324869595542281,4143.0,0.5126014523707817,33,632
76,11-08-106-00515-075426,84.08079974486651,94.81311047443127,99.999999999,45.77777777732,79.9999999992,1.006390904341221,2.595886141122223,0.5834529153379016,7860.0,12.592592592592592,8,106
77,11-32-593-05649-627644,84.06664176156781,90.33609593054156,99.999999999,39.66101694875593,99.999999999,0.3827056617649962,1.3675230868394792,0.5378020934785884,16500.0,0.0,32,593
78,11-32-599-05680-628302,84.05304588479959,90.15022344713081,99.999999999,39.96478253173629,99.999999999,0.542852098332921,1.636730021010143,0.5359068055483062,20573.0,0.0,32,599
